id,px,py,pz,length
0,26.821,12.946,-7.907,0.807
1,27.621,12.946,-7.907,0.951
2,28.421,12.946,-7.907,0.759
3,29.221,12.946,-7.907,0.579
4,30.021,12.946,-7.907,0.454
5,30.821,12.946,-7.907,0.379
6,31.621,12.946,-7.863,0.300
7,32.421,12.946,-7.877,0.300
8,33.221,12.946,-7.883,0.306
9,34.021,12.946,-7.891,0.355
10,34.821,12.946,-7.896,0.305
11,35.621,12.946,-7.888,0.300
12,17.621,13.746,-7.907,0.335
13,18.421,13.746,-7.907,0.347
14,19.221,13.746,-7.907,0.300
15,20.021,13.746,-7.907,0.300
16,20.821,13.746,-7.907,0.300
17,21.621,13.746,-7.907,0.300
18,22.421,13.746,-7.907,0.341
19,23.221,13.746,-7.907,0.420
20,24.021,13.746,-7.907,0.494
21,24.821,13.746,-7.907,0.542
22,25.621,13.746,-7.907,0.629
23,26.421,13.746,-7.907,0.825
24,27.221,13.746,-7.907,1.058
25,28.021,13.746,-7.907,1.074
26,28.821,13.746,-7.907,0.873
27,29.621,13.746,-7.907,0.704
28,30.421,13.746,-7.905,0.586
29,31.221,13.746,-7.897,0.476
30,32.021,13.746,-7.831,0.351
31,32.821,13.746,-7.852,0.425
32,33.621,13.746,-7.881,0.614
33,34.421,13.746,-7.902,0.787
34,35.221,13.746,-7.917,0.858
35,36.021,13.746,-7.951,0.799
36,36.821,13.746,-7.962,0.465
37,37.621,13.746,-7.976,0.300
38,38.421,13.746,-8.002,0.300
39,39.221,13.746,-8.020,0.300
40,40.021,13.746,-8.023,0.300
41,40.821,13.746,-8.025,0.300
42,41.621,13.746,-8.065,0.300
43,42.421,13.746,-8.146,0.300
44,43.221,13.746,-8.207,0.307
45,9.221,14.546,-7.907,0.300
46,10.021,14.546,-7.907,0.300
47,10.821,14.546,-7.907,0.360
48,11.621,14.546,-7.907,0.462
49,12.421,14.546,-7.907,0.544
50,13.221,14.546,-7.907,0.610
51,14.021,14.546,-7.907,0.659
52,14.821,14.546,-7.907,0.644
53,15.621,14.546,-7.907,0.633
54,16.421,14.546,-7.907,0.639
55,17.221,14.546,-7.907,0.609
56,18.021,14.546,-7.907,0.561
57,18.821,14.546,-7.907,0.584
58,19.621,14.546,-7.907,0.485
59,20.421,14.546,-7.907,0.458
60,21.221,14.546,-7.907,0.507
61,22.021,14.546,-7.907,0.584
62,22.821,14.546,-7.907,0.658
63,23.621,14.546,-7.907,0.737
64,24.421,14.546,-7.907,0.757
65,25.221,14.546,-7.907,0.735
66,26.021,14.546,-7.907,0.835
67,26.821,14.546,-7.907,1.093
68,27.621,14.546,-7.723,1.167
69,28.421,14.546,-7.746,1.085
70,29.221,14.546,-7.759,0.925
71,30.021,14.546,-7.760,0.776
72,30.821,14.546,-7.835,0.718
73,31.621,14.546,-7.871,0.608
74,32.421,14.546,-7.888,0.552
75,33.221,14.546,-7.911,0.673
76,34.021,14.546,-7.927,0.917
77,34.821,14.546,-7.937,1.147
78,35.621,14.546,-7.949,1.253
79,36.421,14.546,-7.968,1.172
80,37.221,14.546,-7.998,0.949
81,38.021,14.546,-8.040,0.780
82,38.821,14.546,-8.067,0.706
83,39.621,14.546,-8.074,0.669
84,40.421,14.546,-8.057,0.551
85,41.221,14.546,-8.047,0.416
86,42.021,14.546,-8.114,0.334
87,42.821,14.546,-8.197,0.300
88,47.621,14.546,-8.229,0.300
89,48.421,14.546,-8.234,0.450
90,49.221,14.546,-8.223,0.631
91,50.021,14.546,-8.207,0.787
92,50.821,14.546,-8.196,0.859
93,51.621,14.546,-8.198,0.853
94,52.421,14.546,-8.208,0.785
95,53.221,14.546,-8.222,0.680
96,54.021,14.546,-8.249,0.557
97,54.821,14.546,-8.217,0.363
98,56.421,14.546,-8.194,0.300
99,57.221,14.546,-8.193,0.300
100,58.021,14.546,-8.192,0.300
101,58.821,14.546,-8.185,0.300
102,59.621,14.546,-8.179,0.300
103,60.421,14.546,-8.179,0.300
104,61.221,14.546,-8.178,0.300
105,62.021,14.546,-8.180,0.300
106,62.821,14.546,-8.188,0.362
107,63.621,14.546,-8.212,0.446
108,6.421,15.346,-7.906,0.300
109,7.221,15.346,-7.906,0.300
110,8.021,15.346,-7.900,0.300
111,8.821,15.346,-7.892,0.300
112,9.621,15.346,-7.904,0.397
113,10.421,15.346,-7.906,0.507
114,11.221,15.346,-7.907,0.592
115,12.021,15.346,-7.907,0.686
116,12.821,15.346,-7.907,0.733
117,13.621,15.346,-7.907,0.792
118,14.421,15.346,-7.907,0.836
119,15.221,15.346,-7.907,0.836
120,16.021,15.346,-7.907,0.860
121,16.821,15.346,-7.907,0.895
122,17.621,15.346,-7.907,0.881
123,18.421,15.346,-7.907,0.866
124,19.221,15.346,-7.907,0.879
125,20.021,15.346,-7.907,0.798
126,20.821,15.346,-7.907,0.837
127,21.621,15.346,-7.907,0.903
